catalog,vendor,product,release,id,title,description,status,official_doc_url
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,account-api,Account API,The Account API provides endpoints to retrieve Customer Service Management (CSM) account records.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/account-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,actsub-api,ActivitySubscriptions API,The ActivitySubscriptions API provides endpoints to retrieve Activity entities from the Subscriptions and Activity Feed Framework.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/actsub-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,agnt_clnt_cll-api,Agent Client Collector API,The Agent Client Collector API provides endpoints to manage actions on available agents and managing policies.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/agnt_clnt_cll-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,agent-mapping-api,Agent Mapping API,The Agent Mapping API provides an endpoint to map external agent IDs from Contact Center as a Service (CCaaS) systems to internal agent IDs in the ServiceNow AI Platform.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/agent-mapping-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,c_AggregateAPI,Aggregate API,The Aggregate API provides endpoints that allow you to compute aggregate statistics about existing table and column data.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/c_AggregateAPI
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,ai-assets-api,AI Assets API,"AI Assets API provides endpoints to retrieve, update, and create several types of AI assets, such as systems, data sets, prompts, and models.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/ai-assets-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,ext-user-mapping-api,AI Search External User Mapping API,The AI Search External User Mapping API provides endpoints that enable ingestion of user mapping information from external sources into the ServiceNow® AI Search application's index.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/ext-user-mapping-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,alarm-open-api,Alarm Management Open API,"The Alarm Management Open API provides endpoints to create, update, and retrieve data from the Events [em_event] and Alert [em_alert] tables.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/alarm-open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,ap-invoice-api,AP Invoice API,"Allows external systems, such as those used by vendors, to securely submit invoices directly into an accounts payable system in a structured and automated manner.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/ap-invoice-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,application-service-api,Application Service API,"The Application Service API provides endpoints that enable you to create, modify, and update application services.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/application-service-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,appointment-api,Appointment API,"The Appointment API provides endpoints for interacting with the appointment booking application. Use this API to book and reschedule appointments, check available appointment slots, and fetch appointment booking configuration details.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/appointment-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,appointment-open-api,Appointment Open API,The Appointment Open API is a telecommunication API that allows you to interact with the appointment booking application. Use this API to book appointments and search available time slots.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/appointment-open-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,c_AttachmentAPI,Attachment API,The Attachment API provides endpoints that allow you to upload and query file attachments.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/c_AttachmentAPI
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,auto-api,Automation Center API,"The Automation Center API provides endpoints to create and update data related to robots, processes, and execution jobs. By leveraging this API, you can integrate and reflect details from your automation workflows into the Automation Center dashboard.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/auto-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,agent-api,AWA Agent API,"The AWA (Advanced Work Assignment) Agent API provides endpoints to manage agent presence, channel availability, and workload.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/agent-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,awa-agent-consult-api,AWA Agent Consult API,Handles agent consult work items.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/awa-agent-consult-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,awa-inbox-actions-api,AWA Inbox Actions API,The AWA Inbox Actions API provides endpoints to accept or reject a work item on behalf of an agent. This API also retrieves reject reasons for rejected work items.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/awa-inbox-actions-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,awa_manual_assign-api,AWA Manual Assignment API,The AWA Manual Assignment API provides an endpoint to manually assign available work items to available Advanced Work Assignment (AWA) agents.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/awa_manual_assign-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,awa-offer-work-api,AWA Offer Work API,The AWA Offer Work API provides an endpoint to assign or transfer work items to agents.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/awa-offer-work-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,queue-api,AWA Routing API,The AWA Routing API provides endpoints to route a document to a queue.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/queue-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,batch-api,Batch API,"The Batch API provides endpoints to send a single request containing multiple REST API calls, and returns a stream of response payloads.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/batch-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,case-api,Case API,The Case API provides endpoints that enable you to retrieve and update Customer Service Management (CSM) case records.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/case-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cccif-api,CCCIF Media Resource API,The Custom Chat Chatbot Interoperability Framework (CCCIF) Media Resource API provides endpoints that enable a primary bot to upload attachments to the associated ServiceNow instance.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cccif-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,applications-api,CdmApplicationsApi,"The CdmApplicationsApi provides endpoints that enable you to uploadzoominsoftware.io/utah-devops/ configuration data to the component, collection, deployable, and component variable folders found in the DevOps Config Workspace UI. It also has endpoints that enable you to export deployable configuration data to your DevOps pipeline and manage shared components and shared applications.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/applications-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,changesets-api,CdmChangesetsApi,The CdmChangesetsApi provides endpoints that enable you to manage changesets.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/changesets-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,editor-api,CdmEditorApi,"The CdmEditorApi provides endpoints that enable you to create nodes, update nodes, include existing nodes under other nodes, delete nodes, and retrieve nodes and node includes.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/editor-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,policies-api,CdmPoliciesApi,The CdmPoliciesApi provides endpoints that enable you to manage policy mappings of deployables in Configuration Data Management (CDM). Policies that are properly mapped to a deployable are executed when a snapshot of the deployable is validated.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/policies-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,shared_libraries-api,CdmSharedLibraryApi,The CdmSharedLibraryApi provides endpoints that enable you to create and manage shared libraries and shared components. It also has endpoints that enable you to upload and export the configuration data of a shared component.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/shared_libraries-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,snapshot-api,CdmSnapshotApi,"The CdmSnapshotApi provides endpoints that enable you to publish, unpublish, and re-validate snapshots in Configuration Data Management (CDM).",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/snapshot-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,versions-api,CdmVersionApi,"The CdmVersionApi provides endpoints that enable you to publish, unpublish, and export versions (snapshots) in Configuration Data Management (CDM) for shared components under shared libraries.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/versions-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,change-management-api,Change Management API,The Change Management API provides endpoints that enable third-party application integration with the ServiceNow Change Management process.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/change-management-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,ci-lifecycle-management-api,CI Lifecycle Management API,The CI Lifecycle Management API provides endpoints to manipulate configuration item (CI) operational states and apply CI actions.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/ci-lifecycle-management-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cloudrunner-testgeneration-api,Cloud Runner Test Generation REST API,Manages test job generation to be executed in a cloud runner for Automated Test Framework (ATF).,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cloudrunner-testgeneration-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cloudrunner-testrunner-api,Cloud Runner Test Runner REST API,Manages tests to be executed in a cloud runner for Automated Test Framework (ATF).,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cloudrunner-testrunner-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cloudrunner-testuser-api,Cloud Runner Test User REST API,Manages test user jobs to be executed in a cloud runner for Automated Test Framework (ATF).,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cloudrunner-testuser-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cs-catalog-api,Cloud Services Catalog API,"The Cloud Services Catalog API provides methods related to Day-1 (provisioning) and Day-2 (modification) operations available in the Cloud Services Catalog, such as creating cloud service stacks and calling resource operation requests. You can also retrieve information about catalog requests, stacks getting status, and other information.",official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cs-catalog-api
servicenow-official-api-families.yml,ServiceNow,ServiceNow Platform,zurich,cmdb-ingest-api,CMDB Data Ingestion API,The CMDB Data Ingestion API provides endpoints that enable the batch ingestion of an array of objects into an Import Set table.,official_indexed,https://developer.servicenow.com/dev.do#!/reference/api/zurich/rest/cmdb-ingest-api
